bbc	world	https://feeds.bbci.co.uk/news/world/rss.xml
bbc	business	https://feeds.bbci.co.uk/news/business/rss.xml
bbc	tech	https://feeds.bbci.co.uk/news/technology/rss.xml
bbc	sport	https://feeds.bbci.co.uk/news/sport/rss.xml
bbc	science	https://feeds.bbci.co.uk/news/health/rss.xml
bbc	culture	https://feeds.bbci.co.uk/news/entertainment-and-arts/rss.xml
cnn	world	https://rss.cnn.com/rss/edition_world.rss
cnn	business	https://rss.cnn.com/rss/edition_business.rss
cnn	tech	https://rss.cnn.com/rss/edition_technology.rss
cnn	sport	https://rss.cnn.com/rss/edition_sport.rss
guardian	world	https://www.theguardian.com/world/rss
guardian	business	https://www.theguardian.com/business/rss
guardian	tech	https://www.theguardian.com/uk/technology/rss
guardian	sport	https://www.theguardian.com/sport/rss
guardian	culture	https://www.theguardian.com/uk/culture/rss
aljazeera	world	https://www.aljazeera.com/xml/rss/all.xml
ap	world	https://apnews.com/hub/world-news?output=rss
ap	business	https://apnews.com/hub/business?output=rss
ap	tech	https://apnews.com/hub/technology?output=rss
ap	sport	https://apnews.com/hub/sports?output=rss
ap	science	https://apnews.com/hub/science?output=rss
france24	world	https://www.france24.com/en/rss
dw	world	https://rss.dw.com/rdf/rss-en-world
nyt	world	https://rss.nytimes.com/services/xml/rss/nyt/World.xml
nyt	business	https://rss.nytimes.com/services/xml/rss/nyt/Business.xml
nyt	tech	https://rss.nytimes.com/services/xml/rss/nyt/Technology.xml
nyt	sport	https://rss.nytimes.com/services/xml/rss/nyt/Sport.xml
nyt	culture	https://rss.nytimes.com/services/xml/rss/nyt/Arts.xml
